condition,location,price,title,url
izpolzvano,"Krastova vada, gr. Sofiya, Oblast Sofiya-grad",420.0,Iphone X - nerabotesht displey,https://www.olx.bg/ad/iphone-x-nerabotesch-displey-CID632-ID8sh0t.html
izpolzvano,"Idealen tsentar, gr. Pleven, Oblast Pleven",560.0,IPhone XS 64gb space grey / barter,https://www.olx.bg/ad/iphone-xs-64gb-space-grey-barter-CID632-ID8sh1i.html
izpolzvano,"7-mi 11-ti kilometar, gr. Sofiya, Oblast Sofiya-grad",700.0,Iphone xr,https://www.olx.bg/ad/iphone-xr-CID632-ID8sh74.html
izpolzvano,"Karshiyaka, gr. Plovdiv, Oblast Plovdiv",720.0,Iphone X Space Grey 64 GB,https://www.olx.bg/ad/iphone-x-space-grey-64-gb-CID632-ID8shh8.html
izpolzvano,"gr. Gotse Delchev, Oblast Blagoevgrad",450.0,IPhone x 64gb bez Face id i problem s WiFi,https://www.olx.bg/ad/iphone-x-64gb-bez-face-id-i-problem-s-wifi-CID632-ID8o1Rf.html
izpolzvano,"gr. Byala Slatina, Oblast Vratsa",600.0,IPhone Xs silver 64GB Kato nov!,https://www.olx.bg/ad/iphone-xs-silver-64gb-kato-nov-CID632-ID8shGd.html
izpolzvano,"Promishlena zona - Iztok, gr. Vratsa, Oblast Vratsa",700.0,Iphone x black 64 GB,https://www.olx.bg/ad/iphone-x-black-64-gb-CID632-ID8qhzu.html
izpolzvano,"Zaharna fabrika, gr. Plovdiv, Oblast Plovdiv",600.0,Apple iPhone X 64GB Silver,https://www.olx.bg/ad/apple-iphone-x-64gb-silver-CID632-ID8shKj.html
izpolzvano,"Mladost 1A, gr. Sofiya, Oblast Sofiya-grad",569.0,Iphone XS 64GB FO Space Gray,https://www.olx.bg/ad/iphone-xs-64gb-fo-space-gray-CID632-ID8rBe8.html
izpolzvano,"Vazrazhdane, gr. Yambol, Oblast Yambol",550.0,IPhone X 64gb !!!perfekten!!!,https://www.olx.bg/ad/iphone-x-64gb-perfekten-CID632-ID8oKdM.html
izpolzvano,"gr. Popovo, Oblast Targovishte",677.0,IPhone XS Black 64GB,https://www.olx.bg/ad/iphone-xs-black-64gb-CID632-ID8sinx.html
izpolzvano,"Vazrazhdane, gr. Ruse, Oblast Ruse",650.0,Iphone xs 64 gb fabrichno otklyuchen,https://www.olx.bg/ad/iphone-xs-64-gb-fabrichno-otklyuchen-CID632-ID8siNz.html
izpolzvano,"Sveta Troitsa, gr. Sofiya, Oblast Sofiya-grad",620.0,Iphone xr 128gb,https://www.olx.bg/ad/iphone-xr-128gb-CID632-ID8sjf6.html
novo,"Zapad 1, gr. Targovishte, Oblast Targovishte",150.0,IPhone X kato nov!,https://www.olx.bg/ad/iphone-x-kato-nov-CID632-ID8sjlC.html
izpolzvano,"Ovcha kupel, gr. Sofiya, Oblast Sofiya-grad",759.0,Apple iPhone XS 64GB Silver Otklyuchen za vsichki operatori po sveta,https://www.olx.bg/ad/apple-iphone-xs-64gb-silver-otklyuchen-za-vsichki-operatori-po-sveta-CID632-ID821fq.html
izpolzvano,"Meden rudnik - zona B, gr. Burgas, Oblast Burgas",700.0,IPhone XS 64Gb,https://www.olx.bg/ad/iphone-xs-64gb-CID632-ID8si6J.html
izpolzvano,"Meden rudnik - zona B, gr. Burgas, Oblast Burgas",700.0,IPhone XS,https://www.olx.bg/ad/iphone-xs-CID632-ID8si73.html
izpolzvano,"Borovo, gr. Sofiya, Oblast Sofiya-grad",735.0,Iphone XS 64GB Space Grey,https://www.olx.bg/ad/iphone-xs-64gb-space-grey-CID632-ID8p0WU.html
izpolzvano,"Hadzhi Dimitar, gr. Sofiya, Oblast Sofiya-grad",750.0,Apple iPhone XS 64gb,https://www.olx.bg/ad/apple-iphone-xs-64gb-CID632-ID8qfil.html
izpolzvano,"Industrialna zona - Trakiya, gr. Plovdiv, Oblast Plovdiv",650.0,IPhone XS 64gb,https://www.olx.bg/ad/iphone-xs-64gb-CID632-ID8shjR.html
izpolzvano,"Druzhba 2, gr. Sofiya, Oblast Sofiya-grad",630.0,Iphone XS MAX 64GB,https://www.olx.bg/ad/iphone-xs-max-64gb-CID632-ID8shkc.html
izpolzvano,"Manastirski livadi, gr. Sofiya, Oblast Sofiya-grad",595.0,Iphone XS 64GB black,https://www.olx.bg/ad/iphone-xs-64gb-black-CID632-ID8shbI.html
izpolzvano,"Troshevo, gr. Varna, Oblast Varna",750.0,Iphone XS 64 GB,https://www.olx.bg/ad/iphone-xs-64-gb-CID632-ID8iHBC.html
izpolzvano,"Malcho Malchev, gr. Targovishte, Oblast Targovishte",530.0,Iphone Xs whitee,https://www.olx.bg/ad/iphone-xs-whitee-CID632-ID8sgC1.html
izpolzvano,"Idealen tsentar, gr. Pleven, Oblast Pleven",560.0,IPhone XS 64gb space grey / barter,https://www.olx.bg/ad/iphone-xs-64gb-space-grey-barter-CID632-ID8sh1i.html
izpolzvano,"Akatsiya, gr. Veliko Tarnovo, Oblast Veliko Tarnovo",750.0,IPhone XS s garantsiya,https://www.olx.bg/ad/iphone-xs-s-garantsiya-CID632-ID8sh1p.html
izpolzvano,"gr. Byala Slatina, Oblast Vratsa",600.0,IPhone Xs silver 64GB Kato nov!,https://www.olx.bg/ad/iphone-xs-silver-64gb-kato-nov-CID632-ID8shGd.html
izpolzvano,"Zaharna fabrika, gr. Plovdiv, Oblast Plovdiv",750.0,Apple iPhone XS 64 GB Space Grey,https://www.olx.bg/ad/apple-iphone-xs-64-gb-space-grey-CID632-ID8shKR.html
izpolzvano,"Mladost 1A, gr. Sofiya, Oblast Sofiya-grad",569.0,Iphone XS 64GB FO Space Gray,https://www.olx.bg/ad/iphone-xs-64gb-fo-space-gray-CID632-ID8rBe8.html
izpolzvano,"gr. Popovo, Oblast Targovishte",677.0,IPhone XS Black 64GB,https://www.olx.bg/ad/iphone-xs-black-64gb-CID632-ID8sinx.html
izpolzvano,"Vazrazhdane, gr. Ruse, Oblast Ruse",650.0,Iphone xs 64 gb fabrichno otklyuchen,https://www.olx.bg/ad/iphone-xs-64-gb-fabrichno-otklyuchen-CID632-ID8siNz.html
izpolzvano,"Musagenitsa, gr. Sofiya, Oblast Sofiya-grad",929.0,Iphone XS Max 256GB Silver Neverlock Perfekten! 100% bateriya! Garantsiya,https://www.olx.bg/ad/iphone-xs-max-256gb-silver-neverlock-perfekten-100-bateriya-garantsiya-CID632-ID8oDOl.html
izpolzvano,"Druzhba 2, gr. Sofiya, Oblast Sofiya-grad",630.0,Iphone XS MAX 64GB,https://www.olx.bg/ad/iphone-xs-max-64gb-CID632-ID8shkc.html
izpolzvano,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",800.0,IPhone XS Max 64 GB,https://www.olx.bg/ad/iphone-xs-max-64-gb-CID632-ID8pJzW.html
izpolzvano,"Tsentar, gr. Plovdiv, Oblast Plovdiv",899.0,IPhone XS Max 64GB White,https://www.olx.bg/ad/iphone-xs-max-64gb-white-CID632-ID8mRcI.html
