model,mean_price
iphone 8,463.6923076923077
iphone 8 plus,502.5
iphone x,720.6909090909091
iphone xs,776.7037037037037
iphone xs max,963.25
iphone xr,722.5
iphone 11,1167.2307692307693
iphone 11 pro,1334.4705882352941
iphone 11 pro max,1358.888888888889
iphone 12,1806.0869565217392
iphone 12 pro,2231.3333333333335
iphone 12 pro max,2306.1666666666665
