condition,location,price,title,url
izpolzvano,"Iztok, gr. Sofiya, Oblast Sofiya-grad",800 lv.,Apple iPhone XS Max 64GB Gold,https://www.olx.bg/ad/apple-iphone-xs-max-64gb-gold-CID632-ID8qcVT.html
izpolzvano,"gr. Karlovo, Oblast Plovdiv",200 lv.,Apple iPhone 7 - 32GB - Jet Black,https://www.olx.bg/ad/apple-iphone-7-32gb-jet-black-CID632-ID8qcQQ.html
izpolzvano,"gr. Breznik, Oblast Pernik",250 lv.,IPhone 6 Ayfon 6,https://www.olx.bg/ad/iphone-6-ayfon-6-CID632-ID8qcQn.html
novo,"7-mi 11-ti kilometar, gr. Sofiya, Oblast Sofiya-grad",759 lv.,"Chisto nov, nerazpechatvan Huawei P40, Black, 24 m. garantsiya",https://www.olx.bg/ad/chisto-nov-nerazpechatvan-huawei-p40-black-24-m-garantsiya-CID632-ID8qcRD.html
novo,"Mladost 1A, gr. Sofiya, Oblast Sofiya-grad",459 lv.,++ChISTO NOV++ Xiaomi Poco X3 NFC 128GB 6GB RAM Dual 2g. Garantsiya!,https://www.olx.bg/ad/chisto-nov-xiaomi-poco-x3-nfc-128gb-6gb-ram-dual-2g-garantsiya-CID632-ID8qcQD.html
izpolzvano,"Mladost 3, gr. Sofiya, Oblast Sofiya-grad",250 lv.,Samsung Galaxay A50,https://www.olx.bg/ad/samsung-galaxay-a50-CID632-ID8qcQG.html
izpolzvano,"Mladost 1, gr. Sofiya, Oblast Sofiya-grad",170 lv.,IPhone 5s 16gb v super sastoyanie,https://www.olx.bg/ad/iphone-5s-16gb-v-super-sastoyanie-CID632-ID8bOGC.html
izpolzvano,"Shirok tsentar, gr. Blagoevgrad, Oblast Blagoevgrad",65 lv.,"Nokia 3310-3G ,1 br.sim karta",https://www.olx.bg/ad/nokia-3310-3g-1-br-sim-karta-CID632-ID895Ko.html
izpolzvano,"Mladost 1A, gr. Sofiya, Oblast Sofiya-grad",289 lv.,++OTLIChEN++ Iphone 7 32GB Silver,https://www.olx.bg/ad/otlichen-iphone-7-32gb-silver-CID632-ID8q0PF.html
novo,"Zornitsa, gr. Burgas, Oblast Burgas",320 lv.,XIOMI  redmi note 8 PRO 128GB/6RAM GARANTsIYa,https://www.olx.bg/ad/xiomi-redmi-note-8-pro-128gb-6ram-garantsiya-CID632-ID86lIl.html
izpolzvano,"Lazur, gr. Burgas, Oblast Burgas",800 lv.,Apple Iphone XS 64GB,https://www.olx.bg/ad/apple-iphone-xs-64gb-CID632-ID8lBEJ.html
novo,"Tsentar, gr. Plovdiv, Oblast Plovdiv",2300 lv.,IPhone 12 Pro Max 128GB Nerazopakovan,https://www.olx.bg/ad/iphone-12-pro-max-128gb-nerazopakovan-CID632-ID8qcRQ.html
novo,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",380 lv.,"#Samsung Galaxy A30S , green , 128GB.",https://www.olx.bg/ad/samsung-galaxy-a30s-green-128gb-CID632-ID8i0Wb.html
izpolzvano,"Mladost 1A, gr. Sofiya, Oblast Sofiya-grad",1349 lv.,++ChISTO NOV++ Iphone 12 Mini 64GB Blue 2g. Garantsiya!,https://www.olx.bg/ad/chisto-nov-iphone-12-mini-64gb-blue-2g-garantsiya-CID632-ID8qcTo.html
izpolzvano,"Tsentralna gara, gr. Plovdiv, Oblast Plovdiv",220 lv.,HUAWEI P20 lite cheren,https://www.olx.bg/ad/huawei-p20-lite-cheren-CID632-ID8qcSO.html
novo,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",300 lv.,"#Samsung Galaxy A20e ,Blue,32GB",https://www.olx.bg/ad/samsung-galaxy-a20e-blue-32gb-CID632-ID8i0Ux.html
