title,price,location,condition,url
Dvoyno barzo USB zaryadno za avtomobil Quick Charge 3.0 12/24 V,15 lv.,"Tsentar, gr. Plovdiv, Oblast Plovdiv",novo,https://www.olx.bg/ad/dvoyno-barzo-usb-zaryadno-za-avtomobil-quick-charge-3-0-12-24-v-CID632-ID8q86K.html
Gsm Sony Ericsson sas schupen ekran,5 lv.,"s. German, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/gsm-sony-ericsson-sas-schupen-ekran-CID632-ID8k4FO.html
"Telefon Siemens A55,kato nov.",20 lv.,"gr. Elin Pelin, Oblast Sofiya-oblast",izpolzvano,https://www.olx.bg/ad/telefon-siemens-a55-kato-nov-CID632-ID8q87u.html
Nerabotesht gsm Motorola T191,5 lv.,"s. German, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/nerabotesch-gsm-motorola-t191-CID632-ID8k4Ht.html
Sony Ericsson k510i,16 lv.,"Doktorski pametnik, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/sony-ericsson-k510i-CID632-ID89N55.html
Smartfon Huawei Y5P Dual Sim,200 lv.,"Belomorski, gr. Plovdiv, Oblast Plovdiv",izpolzvano,https://www.olx.bg/ad/smartfon-huawei-y5p-dual-sim-CID632-ID8q87G.html
Samsung Galaxy S10E + Samsung Gear S2 Classic,575 lv.,"Mladost 1, gr. Varna, Oblast Varna",izpolzvano,https://www.olx.bg/ad/samsung-galaxy-s10e-samsung-gear-s2-classic-CID632-ID8mz4S.html
Samsung Galaxy S7,165 lv.,"Tsentar, gr. Burgas, Oblast Burgas",izpolzvano,https://www.olx.bg/ad/samsung-galaxy-s7-CID632-ID8iWXm.html
Samsung,15 lv.,"Doktorski pametnik, gr. Sofiya, Oblast Sofiya-grad",novo,https://www.olx.bg/ad/samsung-CID632-ID89N41.html
"Ѕonu Erіsѕѕon Hrerіa Rro MK16і , LG KF 750",50 lv.,"Kazanski, gr. Stara Zagora, Oblast Stara Zagora",izpolzvano,https://www.olx.bg/ad/onu-erson-hrera-rro-mk16-lg-kf-750-CID632-ID8q8aJ.html
Nokia 2610 i Nokia E5,9.99 lv.,"Studentski grad, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/nokia-2610-i-nokia-e5-CID632-ID8dnFh.html
Samsung S8+,299 lv.,"Karpuzitsa, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/samsung-s8-CID632-ID8q8ap.html
Prodavam Xiaomi Mi9 SE cheren 4GB Ram 64GB pamet Global Version,450 lv.,"Trakiya, gr. Plovdiv, Oblast Plovdiv",izpolzvano,https://www.olx.bg/ad/prodavam-xiaomi-mi9-se-cheren-4gb-ram-64gb-pamet-global-version-CID632-ID8q8bH.html
Nokia 2330 za vivakom + zaryadno ustroystvo,29 lv.,"7-mi 11-ti kilometar, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/nokia-2330-za-vivakom-zaryadno-ustroystvo-CID632-ID8q8cm.html
Mobilen Telefon: Alcatel one,70 lv.,"gr. Polski Trambesh, Oblast Veliko Tarnovo",izpolzvano,https://www.olx.bg/ad/mobilen-telefon-alcatel-one-CID632-ID8q8ca.html
Iphon 7,260 lv.,"Kuba, gr. Haskovo, Oblast Haskovo",izpolzvano,https://www.olx.bg/ad/iphon-7-CID632-ID8ow2N.html
Micro USB kabel Ugreen podarzhasht barzo zarezhdane 50 sm.,15 lv.,"Tsentar, gr. Burgas, Oblast Burgas",novo,https://www.olx.bg/ad/micro-usb-kabel-ugreen-podarzhasch-barzo-zarezhdane-50-sm-CID632-ID8q7WS.html
Faks aparat PANASONIK KX-F 77 FX,40 lv.,"Borovo, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/faks-aparat-panasonik-kx-f-77-fx-CID632-ID8q7VK.html
Alcatel 5033D chisto nov,100 lv.,"Lyulin 1, gr. Sofiya, Oblast Sofiya-grad",novo,https://www.olx.bg/ad/alcatel-5033d-chisto-nov-CID632-ID8q7Xl.html
Prestigio muze d5 lte,100 lv.,"Pogrebi, gr. Varna, Oblast Varna",novo,https://www.olx.bg/ad/prestigio-muze-d5-lte-CID632-ID8q7VN.html
Hp ipaq hx 2490 pocket pc,40 lv.,"gr. Radomir, Oblast Pernik",izpolzvano,https://www.olx.bg/ad/hp-ipaq-hx-2490-pocket-pc-CID632-ID8bcKq.html
"Za chasti i raboteshti telefoni!Tsenata e za 2-ta telefona, mozhe i po 1br",100 lv.,"gr. Tervel, Oblast Dobrich",izpolzvano,https://www.olx.bg/ad/za-chasti-i-raboteschi-telefoni-tsenata-e-za-2-ta-telefona-mozhe-i-po-1br-CID632-ID8kw7Q.html
Samsung s10 plus,850 lv.,"Okrazhna bolnitsa, gr. Pazardzhik, Oblast Pazardzhik",izpolzvano,https://www.olx.bg/ad/samsung-s10-plus-CID632-ID8q7Vv.html
Telefon,100 lv.,"Borovets, gr. Targovishte, Oblast Targovishte",izpolzvano,https://www.olx.bg/ad/telefon-CID632-ID885xw.html
Nokia 3600 i 2680S,20 lv.,"Ovcha kupel 1, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/nokia-3600-i-2680s-CID632-ID8m1YB.html
Samsung A 3 2017,80 lv.,"Druzhba 3, gr. Ruse, Oblast Ruse",izpolzvano,https://www.olx.bg/ad/samsung-a-3-2017-CID632-ID8q80r.html
Prodavam telefon Samsung s5neo,80 lv.,"gr. Kubrat, Oblast Razgrad",izpolzvano,https://www.olx.bg/ad/prodavam-telefon-samsung-s5neo-CID632-ID8q7ZX.html
