condition,location,price,title,url
novo,"Musagenitsa, gr. Sofiya, Oblast Sofiya-grad",2199.0,NOV! Iphone 12 Pro Max 128GB Gold Neverlock 2g. Garantsiya!,https://www.olx.bg/ad/nov-iphone-12-pro-max-128gb-gold-neverlock-2g-garantsiya-CID632-ID8nqjc.html
izpolzvano,"Suhata reka, gr. Sofiya, Oblast Sofiya-grad",650.0,Iphone XR 64GB red edition.,https://www.olx.bg/ad/iphone-xr-64gb-red-edition-CID632-ID8sju6.html
izpolzvano,"Lozenets, gr. Sofiya, Oblast Sofiya-grad",1000.0,HUAWEI P40 pro 8gb ram / 256gb,https://www.olx.bg/ad/huawei-p40-pro-8gb-ram-256gb-CID632-ID8pwEp.html
novo,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",449.0,Chisto nov/Samsung Galaxy A51-Black-Dual-24m.gar.,https://www.olx.bg/ad/chisto-nov-samsung-galaxy-a51-black-dual-24m-gar-CID632-ID8phli.html
izpolzvano,"gr. Samokov, Oblast Sofiya-oblast",175.0,"IPhone 6s, PERFEKTEN",https://www.olx.bg/ad/iphone-6s-perfekten-CID632-ID8sjup.html
izpolzvano,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",149.0,"Barter/Xiaomi Mi MAX2-6.4""-4 GB RAM-64 GB ROM-Black",https://www.olx.bg/ad/barter-xiaomi-mi-max2-6-4-4-gb-ram-64-gb-rom-black-CID632-ID8lOZl.html
izpolzvano,"Nov tsentar, gr. Smolyan, Oblast Smolyan",300.0,Iphone 7,https://www.olx.bg/ad/iphone-7-CID632-ID8qoGi.html
novo,"Tsentar, gr. Shumen, Oblast Shumen",10.0,"Statsionaren telefon ""Panasonik""",https://www.olx.bg/ad/statsionaren-telefon-panasonik-CID632-ID8ktkj.html
novo,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",950.0,Huawei P40 PRO 256gb,https://www.olx.bg/ad/huawei-p40-pro-256gb-CID632-ID8sdPi.html
izpolzvano,"Bazar Levski, gr. Varna, Oblast Varna",210.0,Sony Xperia XA1 32GB Telefon G3121,https://www.olx.bg/ad/sony-xperia-xa1-32gb-telefon-g3121-CID632-ID8qkLv.html
izpolzvano,"Akatsiya, gr. Veliko Tarnovo, Oblast Veliko Tarnovo",410.0,Iphone 6 S Rose Gold 64GB perfekten,https://www.olx.bg/ad/iphone-6-s-rose-gold-64gb-perfekten-CID632-ID8bm16.html
izpolzvano,"Tsentar, gr. Stara Zagora, Oblast Stara Zagora",270.0,Samsung Galaxy S8+ 64GB G955F,https://www.olx.bg/ad/samsung-galaxy-s8-64gb-g955f-CID632-ID8sjhV.html
izpolzvano,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",1200.0,IPhone 11 Pro Max 64GB,https://www.olx.bg/ad/iphone-11-pro-max-64gb-CID632-ID8sjj7.html
novo,"Mladezhki Halm, gr. Plovdiv, Oblast Plovdiv",150.0,Galaxy S8 black Mozhe da polzvate stakloto ili. Garba !,https://www.olx.bg/ad/galaxy-s8-black-mozhe-da-polzvate-stakloto-ili-garba-CID632-ID8pXRC.html
novo,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",369.0,OPPO A52 64GB 4GB RAM Dual Sim White Smartfon NOV!!! (by Oppo ),https://www.olx.bg/ad/oppo-a52-64gb-4gb-ram-dual-sim-white-smartfon-nov-by-oppo-CID632-ID8o3On.html
novo,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",459.0,Realme 7 128GB 8GB RAM Dual SIM Mist White Smartfon NOV !!! ( by OPPO),https://www.olx.bg/ad/realme-7-128gb-8gb-ram-dual-sim-mist-white-smartfon-nov-by-oppo-CID632-ID8pIpc.html
izpolzvano,"Hadzhi Dimitar, gr. Sofiya, Oblast Sofiya-grad",35.0,Nokia 7310,https://www.olx.bg/ad/nokia-7310-CID632-ID80GmP.html
izpolzvano,"Hadzhi Dimitar, gr. Sofiya, Oblast Sofiya-grad",40.0,Nokia E66,https://www.olx.bg/ad/nokia-e66-CID632-ID82f05.html
izpolzvano,"Ruski, gr. Sliven, Oblast Sliven",220.0,Samsung Galaxy A7,https://www.olx.bg/ad/samsung-galaxy-a7-CID632-ID8qZZX.html
izpolzvano,"Ruski, gr. Sliven, Oblast Sliven",200.0,Samsung Galaxy A41 Zabelezhka,https://www.olx.bg/ad/samsung-galaxy-a41-zabelezhka-CID632-ID8rG7G.html
novo,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",529.0,REALME 7 PRO 8GB 128GB Dual SIM Mirror Blue Smartfon NOV!!! ( by OPPO,https://www.olx.bg/ad/realme-7-pro-8gb-128gb-dual-sim-mirror-blue-smartfon-nov-by-oppo-CID632-ID8qkr6.html
izpolzvano,"Petko Karavelov, gr. Vidin, Oblast Vidin",100.0,Xiaomi Redmi 6A 16GB Dual i Iphone 6 128GB,https://www.olx.bg/ad/xiaomi-redmi-6a-16gb-dual-i-iphone-6-128gb-CID632-ID867jk.html
izpolzvano,"Mototehnika, gr. Yambol, Oblast Yambol",99.0,Galaxy A70 na chasti,https://www.olx.bg/ad/galaxy-a70-na-chasti-CID632-ID8siJB.html
